,receipt_id,barcode,description,finalPrice,itemPrice,brandCode
20,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
21,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
22,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
23,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
24,5f9c74f70a7214ad07000037,075925306254,,1,1,
25,5f9c74f70a7214ad07000037,,,,,
26,5f9c74f70a7214ad07000037,,,,,
27,5f9c74f70a7214ad07000037,,,,,
28,5f9c74f70a7214ad07000037,,,,,
29,5f9c74f70a7214ad07000037,,,,,
30,5f9c74f70a7214ad07000037,,,,,
31,5f9c74f70a7214ad07000037,,,,,
32,5f9c74f70a7214ad07000037,,,,,
33,5f9c74f70a7214ad07000037,,,,,
34,5f9c74f70a7214ad07000037,,,,,
35,5ff1e1b20a7214ada100055a,4011,ITEM NOT FOUND,1,1,
36,5ff1e1e90a7214ada1000569,,,,,
37,5ff1e1e90a7214ada1000569,,,,,
38,5ff1e1df0a7214ada1000564,4011,ITEM NOT FOUND,1,1,
39,5ff1e1df0a7214ada1000564,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,
40,5ff1e1b40a7214ada100055b,075925306254,,1,1,
41,5ff1e1b40a7214ada100055b,,,,,
42,5ff1e1b40a7214ada100055b,,,,,
43,5ff1e1b40a7214ada100055b,,,,,
44,5ff1e1b40a7214ada100055b,,,,,
45,5ff1e1b40a7214ada100055b,,,,,
46,5ff1e1b40a7214ada100055b,,,,,
47,5ff1e1b40a7214ada100055b,,,,,
48,5ff1e1b40a7214ada100055b,,,,,
49,5ff1e1b40a7214ada100055b,,,,,
50,5ff1e1b40a7214ada100055b,,,,,
51,5ff1e1eb0a720f0523000576,4011,ITEM NOT FOUND,26.00,26.00,
52,5ff1e1c80a720f052300056d,4011,ITEM NOT FOUND,1,1,
53,5ff1e1c80a720f052300056d,1234,,,,
54,5f9c74f90a7214ad07000038,075925306254,,1,1,
55,5f9c74f90a7214ad07000038,075925306254,,10.00,10.00,
56,5f9c74f90a7214ad07000038,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,
57,5f9c74f90a7214ad07000038,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,
58,5f9c74f90a7214ad07000038,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,
59,5ff1e1960a720f0523000567,4011,ITEM NOT FOUND,1,1,
60,5ff1e1ec0a7214ada100056c,4011,ITEM NOT FOUND,21.00,21.00,
61,5ff1e1d70a720f0523000571,041000168468,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,1,
62,5ff1e1d70a720f0523000571,2700719497082,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,1,
63,5ff1e1c60a7214ada100055e,4011,ITEM NOT FOUND,1,1,
64,5ff1e1c60a7214ada100055e,1234,,,,
65,5ff1e1ee0a7214ada1000570,4011,ITEM NOT FOUND,27.00,27.00,
66,5ff1e1cf0a720f0523000570,4011,ITEM NOT FOUND,1,1,
67,5ff1e1cf0a720f0523000570,1234,,,,
68,5ff1e1e10a720f0523000572,079400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,
69,5ff1e1d40a7214ada1000562,,DELETED ITEM,1,1,
70,5ff1e1d40a7214ada1000562,051500720011,JIF CRMY PNT BTR JAR 40 OZ,2,2,
71,5ff1e1ee0a720f0523000578,4011,ITEM NOT FOUND,27.00,27.00,
72,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
73,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
74,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
75,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
76,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
77,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
78,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
79,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
80,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
81,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,
82,5ff36dcc0a720f05230005b1,071040063102,,0.99,0.99,
83,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
84,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
85,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
86,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
87,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
88,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
89,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
90,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
91,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,
92,5ff36d860a720f05230005a7,041129002292,CLASSICO Traditional Basil Pesto 14OZ 12pack,1,1,
93,5ff36d9f0a720f05230005ab,043000946060,K9 Crystal Chandelier with 4 Lights in Globe Shape,1,1,
94,5ff36adb0a720f0523000590,044700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,
95,5ff36adb0a720f0523000590,044700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,
96,5ff36adb0a720f0523000590,044700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,
97,5ff36adb0a720f0523000590,044700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,
98,5ff36adb0a720f0523000590,044700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,
99,5ff36da00a7214ada100059b,021000012961,,1,1,
100,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
101,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
102,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
103,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
104,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
105,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
106,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
107,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
108,5ff36dc40a7214ada100059f,021000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,
109,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
110,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
111,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
112,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
113,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
114,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
115,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
116,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
117,5ff3710b0a7214ada10005a7,044700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,
118,5ff36d780a7214ada1000593,021000059232,,10,10,
119,5ff371410a7214ada10005ba,043000004944,"MAXWELL HOUSE Orange International Cafe Beverage Mix, 9.3 OZ",1,1,
120,5ff36c8b0a720f05230005a1,759283400082,KRAFT BACK TO NATURE CHEDDAR CHEESE SHELL MACARONI AND CHEESE MIX 6 OZ - 0759283400081,1,1,
121,5ff36c550a7214ada1000588,025800000135,SMART MADE Rosemary Grilled Beef & Vegetables 9 OZ Box,5,5,
122,5ff36c550a7214ada1000588,025800000135,SMART MADE Rosemary Grilled Beef & Vegetables 9 OZ Box,5,5,
123,5ff36c550a7214ada1000588,025800000135,SMART MADE Rosemary Grilled Beef & Vegetables 9 OZ Box,5,5,
124,5ff36c550a7214ada1000588,025800000135,SMART MADE Rosemary Grilled Beef & Vegetables 9 OZ Box,5,5,
125,5ff36c550a7214ada1000588,025800000135,SMART MADE Rosemary Grilled Beef & Vegetables 9 OZ Box,5,5,
126,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
127,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
128,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
129,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
130,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
131,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
132,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
133,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
134,5ff36acb0a720f052300058d,043000043486,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,9.99,
135,5ff371450a7214ada10005bd,029000024748,NATURE TREE Walnuts 8oz,9.99,9.99,
136,5ff371450a7214ada10005bd,029000024748,NATURE TREE Walnuts 8oz,9.99,9.99,
137,5ff371450a7214ada10005bd,029000024748,NATURE TREE Walnuts 8oz,9.99,9.99,
138,5ff371450a7214ada10005bd,029000024748,NATURE TREE Walnuts 8oz,9.99,9.99,
139,5ff371450a7214ada10005bd,029000024748,NATURE TREE Walnuts 8oz,9.99,9.99,
140,5ff36d9d0a720f05230005aa,044700002810,OSCAR MAYER XXL Premium Fully-Cooked Beef Franks 16 OZ 004470000281,5,5,
141,5ff36d9d0a720f05230005aa,044700002810,OSCAR MAYER XXL Premium Fully-Cooked Beef Franks 16 OZ 004470000281,5,5,
142,5ff36d9d0a720f05230005aa,044700002810,OSCAR MAYER XXL Premium Fully-Cooked Beef Franks 16 OZ 004470000281,5,5,
143,5ff36d9d0a720f05230005aa,044700002810,OSCAR MAYER XXL Premium Fully-Cooked Beef Franks 16 OZ 004470000281,5,5,
144,5ff36d9d0a720f05230005aa,044700002810,OSCAR MAYER XXL Premium Fully-Cooked Beef Franks 16 OZ 004470000281,5,5,
145,5ff36c590a7214ada1000589,043000079904,GEVALIA KAFFE Cold Brew Iced Latte Mocha 11fl OZ,5,5,
146,5ff36c590a7214ada1000589,043000079904,GEVALIA KAFFE Cold Brew Iced Latte Mocha 11fl OZ,5,5,
147,5ff36c590a7214ada1000589,043000079904,GEVALIA KAFFE Cold Brew Iced Latte Mocha 11fl OZ,5,5,
148,5ff36c590a7214ada1000589,043000079904,GEVALIA KAFFE Cold Brew Iced Latte Mocha 11fl OZ,5,5,
149,5ff36c590a7214ada1000589,043000079904,GEVALIA KAFFE Cold Brew Iced Latte Mocha 11fl OZ,5,5,
150,5ff29be20a7214ada1000571,044000000745,-Cheddar,1.00,1.00,KRAFT EASY CHEESE
151,5ff3416f0a7214ada1000576,,"flipbelt level terrain waist pouch, neon yellow, large/32-35",28.57,28.57,
152,5ff36c6d0a720f0523000597,046704085905,T.G.I. FRIDAY'S(r) Frozen Loaded Baked Potato Cheese Spread DIP BOX 8 OZ 004670408590,4.55,4.55,
153,5ff36c6d0a720f0523000597,046704085905,T.G.I. FRIDAY'S(r) Frozen Loaded Baked Potato Cheese Spread DIP BOX 8 OZ 004670408590,4.55,4.55,
154,5ff36c6d0a720f0523000597,046704085905,T.G.I. FRIDAY'S(r) Frozen Loaded Baked Potato Cheese Spread DIP BOX 8 OZ 004670408590,4.55,4.55,
155,5ff36c6d0a720f0523000597,046704085905,T.G.I. FRIDAY'S(r) Frozen Loaded Baked Potato Cheese Spread DIP BOX 8 OZ 004670408590,4.55,4.55,
156,5ff36a830a7214ada100057b,021000057832,,1,1,
157,5ff36c570a720f0523000593,021000002917,,10,10,
158,5ff3713c0a7214ada10005b6,044700019917,OSCAR MAYER Lower Sodium Bacon 16 oz. Pack,10,10,
159,5ff371130a7214ada10005aa,043000035818,"TASSIMO French Vanilla T-Discs, 80ct",0.99,0.99,
160,5ff370f00a7214ada10005a3,070085046583,,9.99,9.99,
161,5ff370f00a7214ada10005a3,070085046583,,9.99,9.99,
162,5ff370f00a7214ada10005a3,070085046583,,9.99,9.99,
163,5ff370f00a7214ada10005a3,070085046583,,9.99,9.99,
164,5ff370f00a7214ada10005a3,070085046583,,9.99,9.99,
165,5ff371240a7214ada10005b3,044700073377,"OSCAR MAYER Jumbo Angus Beef Uncured Franks, 15.0 OZ",1,1,
166,5ff36c8d0a7214ada1000591,021000055920,,1,1,
167,5ff36ad40a7214ada1000585,021000051885,,0.99,0.99,
168,5ff36dcb0a7214ada10005a0,071040063102,,9.99,9.99,
169,5ff3416d0a7214ada1000575,,"flipbelt level terrain waist pouch, neon yellow, large/32-35",28.57,28.57,
170,5ff4ce430a7214ada10005d8,4011,ITEM NOT FOUND,25.00,25.00,
171,5ff4ce400a7214ada10005d5,4011,ITEM NOT FOUND,27.00,27.00,
172,5ff4a4ca0a7214ada10005d0,,"mueller austria hypergrind precision electric spice/coffee grinder millwith large grinding capacity and hd motor also for spices, herbs, nuts,grains, white",22.97,22.97,
173,5ff4a4ca0a7214ada10005d0,,thindust summer face mask - sun protection neck gaiter for outdooractivities,11.99,11.99,
174,5ff473de0a720f05230005bd,022174070214,CJN INJ & LSN GLD GRLN KIT BOX 1 CT,1,1,
175,5ff4ce8c0a7214ada10005e6,079400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,
176,5ff4ce3d0a7214ada10005d3,4011,ITEM NOT FOUND,29.00,29.00,
177,5ff473b40a7214ada10005c5,043000012871,Crystal Light On-the-Go Raspberry Green Tea Drink Mix 10 ct Box,1,1,
178,5ff473f30a720f05230005c0,043000077467,O THAT'S GOOD Baked Potato Soup 16 OZ,10,10,
179,5ff4ce3a0a7214ada10005d2,4011,ITEM NOT FOUND,21.00,21.00,
180,5ff473a90a7214ada10005c2,043000008836,MAXWELL HOUSE International Cinnamon Dulce Cappuccino Cafe-Style Beverage Mix 9.1 oz. Tub,5,5,
181,5ff473a90a7214ada10005c2,043000008836,MAXWELL HOUSE International Cinnamon Dulce Cappuccino Cafe-Style Beverage Mix 9.1 oz. Tub,5,5,
182,5ff473a90a7214ada10005c2,043000008836,MAXWELL HOUSE International Cinnamon Dulce Cappuccino Cafe-Style Beverage Mix 9.1 oz. Tub,5,5,
183,5ff473a90a7214ada10005c2,043000008836,MAXWELL HOUSE International Cinnamon Dulce Cappuccino Cafe-Style Beverage Mix 9.1 oz. Tub,5,5,
184,5ff473a90a7214ada10005c2,043000008836,MAXWELL HOUSE International Cinnamon Dulce Cappuccino Cafe-Style Beverage Mix 9.1 oz. Tub,5,5,
185,5ff473b10a7214ada10005c4,021000068364,"JUST CRACK AN EGG Scramble Kit, Family Size Ultimate Scramble - 2 12oz trays",9.99,9.99,
186,5ff473b10a7214ada10005c4,021000068364,"JUST CRACK AN EGG Scramble Kit, Family Size Ultimate Scramble - 2 12oz trays",9.99,9.99,
187,5ff473b10a7214ada10005c4,021000068364,"JUST CRACK AN EGG Scramble Kit, Family Size Ultimate Scramble - 2 12oz trays",9.99,9.99,
188,5ff473b10a7214ada10005c4,021000068364,"JUST CRACK AN EGG Scramble Kit, Family Size Ultimate Scramble - 2 12oz trays",9.99,9.99,
189,5ff473b10a7214ada10005c4,021000068364,"JUST CRACK AN EGG Scramble Kit, Family Size Ultimate Scramble - 2 12oz trays",9.99,9.99,
190,5ff475820a7214ada10005cf,,,,,
191,5ff4ce550a7214ada10005db,4011,ITEM NOT FOUND,1,1,
192,5ff4ce550a7214ada10005db,1234,,,,
193,5ff4ce430a720f05230005c9,4011,ITEM NOT FOUND,29.00,29.00,
194,5ff473d40a7214ada10005c9,021000013869,,9.99,9.99,
195,5ff4ce690a7214ada10005e2,075925306254,,1,1,
196,5ff4ce690a7214ada10005e2,075925306254,,10.00,10.00,
197,5ff4ce690a7214ada10005e2,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,
198,5ff4ce690a7214ada10005e2,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,
199,5ff4ce690a7214ada10005e2,,,,,
200,5ff473f60a7214ada10005ce,044700030479,OSCAR MAYER Deli Fresh Deli Fresh Brown Sugar Ham 8.00-oz,9.99,9.99,
201,5ff473f60a7214ada10005ce,044700030479,OSCAR MAYER Deli Fresh Deli Fresh Brown Sugar Ham 8.00-oz,9.99,9.99,
202,5ff473f60a7214ada10005ce,044700030479,OSCAR MAYER Deli Fresh Deli Fresh Brown Sugar Ham 8.00-oz,9.99,9.99,
203,5ff473f60a7214ada10005ce,044700030479,OSCAR MAYER Deli Fresh Deli Fresh Brown Sugar Ham 8.00-oz,9.99,9.99,
204,5ff473f60a7214ada10005ce,044700030479,OSCAR MAYER Deli Fresh Deli Fresh Brown Sugar Ham 8.00-oz,9.99,9.99,
205,5ff473cf0a7214ada10005c8,041258081601,WYLER'S Instant Bouillon Powder - Chicken Flavor 2.00-oz,9.99,9.99,
206,5fa5ad370a720f05ef000089,075925306254,,1,1,
207,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
208,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
209,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
210,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
211,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
212,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
213,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
214,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
215,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
216,5fa5ad370a720f05ef000089,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.00,29.00,
217,5ff4ce650a7214ada10005e1,075925306254,,1,1,
218,5ff4ce650a7214ada10005e1,,,,,
219,5ff4ce650a7214ada10005e1,,,,,
220,5ff4ce650a7214ada10005e1,,,,,
221,5ff4ce650a7214ada10005e1,,,,,
222,5ff4ce650a7214ada10005e1,,,,,
223,5ff4ce650a7214ada10005e1,,,,,
224,5ff4ce650a7214ada10005e1,,,,,
225,5ff4ce650a7214ada10005e1,,,,,
226,5ff4ce650a7214ada10005e1,,,,,
227,5ff4ce650a7214ada10005e1,,,,,
228,5ff473e40a7214ada10005cc,043000075821,"MAXWELL HOUSE Indulge Max Coffee Drink Mix, Mocha + Salted Caramel - 12 oz",1,1,
229,5ff4ce3c0a720f05230005c4,,,,,
230,5ff4ce3c0a720f05230005c4,,,,,
231,5ff473d00a720f05230005bb,041258081601,WYLER'S Instant Bouillon Powder - Chicken Flavor 2.00-oz,0.99,0.99,
232,5ff473b20a720f05230005b7,021000667543,Dressing KRAFT Free Catalina 90 Ounce,9.99,9.99,
233,5ff473b20a720f05230005b7,021000667543,Dressing KRAFT Free Catalina 90 Ounce,9.99,9.99,
234,5ff473b20a720f05230005b7,021000667543,Dressing KRAFT Free Catalina 90 Ounce,9.99,9.99,
235,5ff473b20a720f05230005b7,021000667543,Dressing KRAFT Free Catalina 90 Ounce,9.99,9.99,
236,5ff473b20a720f05230005b7,021000667543,Dressing KRAFT Free Catalina 90 Ounce,9.99,9.99,
237,5ff473ad0a7214ada10005c3,013120013966,ORE-IDA Diced Hash Brown Potatoes 5 lb. Bag,1,1,
238,5ff4ce640a7214ada10005e0,4011,ITEM NOT FOUND,1,1,
239,5ff4ce3f0a720f05230005c6,4011,ITEM NOT FOUND,29.00,29.00,
240,5ff4ce4e0a7214ada10005da,4011,ITEM NOT FOUND,1,1,
241,5ff4ce4e0a7214ada10005da,1234,,,,
242,5ff473bc0a720f05230005b8,021000068760,FOOD NETWORK KITCHEN INSPIRATIONS Shrimp Scampi Kit 4 OZ,4.55,4.55,
243,5ff473bc0a720f05230005b8,021000068760,FOOD NETWORK KITCHEN INSPIRATIONS Shrimp Scampi Kit 4 OZ,4.55,4.55,
244,5ff473bc0a720f05230005b8,021000068760,FOOD NETWORK KITCHEN INSPIRATIONS Shrimp Scampi Kit 4 OZ,4.55,4.55,
245,5ff473bc0a720f05230005b8,021000068760,FOOD NETWORK KITCHEN INSPIRATIONS Shrimp Scampi Kit 4 OZ,4.55,4.55,
246,5ff4a80e0a720f05230005c2,,"mueller austria hypergrind precision electric spice/coffee grinder millwith large grinding capacity and hd motor also for spices, herbs, nuts,grains, white",22.97,22.97,
247,5ff4a80e0a720f05230005c2,,thindust summer face mask - sun protection neck gaiter for outdooractivities,11.99,11.99,
248,5ff5d1da0a7214ada10005f8,070277290107,,1,1,
249,5ff5d1d40a7214ada10005f4,041129088005,CLASSICO Tomato & Basil Pasta Sauce 44 oz. Jar,5,5,
250,5ff5d1d40a7214ada10005f4,041129088005,CLASSICO Tomato & Basil Pasta Sauce 44 oz. Jar,5,5,
251,5ff5d1d40a7214ada10005f4,041129088005,CLASSICO Tomato & Basil Pasta Sauce 44 oz. Jar,5,5,
252,5ff5d1d40a7214ada10005f4,041129088005,CLASSICO Tomato & Basil Pasta Sauce 44 oz. Jar,5,5,
253,5ff5d1d40a7214ada10005f4,041129088005,CLASSICO Tomato & Basil Pasta Sauce 44 oz. Jar,5,5,
254,5ff5d1a00a7214ada10005ed,013000993906,"HEINZ Cleaning Vinegar, 1 GAL",1,1,
255,5ff5ecb90a7214ada10005f9,,,,,
256,5ff5d1e20a720f05230005da,043000065198,"GEVALIA KAFFE Caramel Iced Coffee with Almond Milk, 33.8 fl oz",1,1,
257,5ff5d1e10a720f05230005d9,021000050765,,9.99,9.99,
258,5ff5d1e10a720f05230005d9,021000050765,,9.99,9.99,
259,5ff5d1e10a720f05230005d9,021000050765,,9.99,9.99,
260,5ff5d1e10a720f05230005d9,021000050765,,9.99,9.99,
261,5ff5d1e10a720f05230005d9,021000050765,,9.99,9.99,
262,5ff5d1fd0a720f05230005de,021000032778,KRAFT HEINZ TACO BELL HOME ORIGINALS JALAPENO TACO SAUCE 8 OZ - 0021000032771,9.99,9.99,
263,5ff5d1fd0a720f05230005de,021000032778,KRAFT HEINZ TACO BELL HOME ORIGINALS JALAPENO TACO SAUCE 8 OZ - 0021000032771,9.99,9.99,
264,5ff5d1fd0a720f05230005de,021000032778,KRAFT HEINZ TACO BELL HOME ORIGINALS JALAPENO TACO SAUCE 8 OZ - 0021000032771,9.99,9.99,
265,5ff5d1fd0a720f05230005de,021000032778,KRAFT HEINZ TACO BELL HOME ORIGINALS JALAPENO TACO SAUCE 8 OZ - 0021000032771,9.99,9.99,
266,5ff5d1fd0a720f05230005de,021000032778,KRAFT HEINZ TACO BELL HOME ORIGINALS JALAPENO TACO SAUCE 8 OZ - 0021000032771,9.99,9.99,
267,5ff5d1fd0a720f05230005de,021000032778,KRAFT HEINZ TACO BELL HOME ORIGINALS JALAPENO TACO SAUCE 8 OZ - 0021000032771,9.99,9.99,
